GEO_ID,NAME,B02001_001E,B02001_002E,B02001_003E
0500000US39001,ADAMS,27776,27455,129
0500000US39003,ALLEN,103175,85161,12230
0500000US39005,ASHLAND,53536,51783,397
0500000US39007,ASHTABULA,97830,90804,3515
0500000US39009,ATHENS,65917,60024,1962
0500000US39011,AUGLAIZE,45729,44142,292
0500000US39013,BELMONT,68024,63374,2652
0500000US39015,BROWN,43572,42265,353
0500000US39017,BUTLER,380019,320689,30587
0500000US39019,CARROLL,27332,27126,72
0500000US39021,CHAMPAIGN,38845,36711,712
0500000US39023,CLARK,134726,116999,10915
0500000US39025,CLERMONT,204275,194339,2895
0500000US39027,CLINTON,41957,39562,861
0500000US39029,COLUMBIANA,103190,97715,2112
0500000US39031,COSHOCTON,36585,35436,419
0500000US39033,CRAWFORD,41821,40391,426
0500000US39035,CUYAHOGA,1247451,778519,368969
0500000US39037,DARKE,51513,50108,385
0500000US39039,DEFIANCE,38160,34608,670
0500000US39041,DELAWARE,201135,175014,6845
0500000US39043,ERIE,74780,63928,6769
0500000US39045,FAIRFIELD,154457,134573,11384
0500000US39047,FAYETTE,28620,26802,710
0500000US39049,FRANKLIN,1290360,855170,291177
0500000US39051,FULTON,42253,39307,169
0500000US39053,GALLIA,30088,28219,657
0500000US39055,GEAUGA,93843,90764,1276
0500000US39057,GREENE,166502,142871,11516
0500000US39059,GUERNSEY,39111,37144,444
0500000US39061,HAMILTON,813589,548299,207839
0500000US39063,HANCOCK,75837,69813,1258
0500000US39065,HARDIN,31425,30171,230
0500000US39067,HARRISON,15211,14484,434
0500000US39069,HENRY,27208,25451,252
0500000US39071,HIGHLAND,43016,41178,627
0500000US39073,HOCKING,28390,27545,218
0500000US39075,HOLMES,43901,43219,60
0500000US39077,HURON,58339,55797,792
0500000US39079,JACKSON,32450,31403,211
0500000US39081,JEFFERSON,66371,60567,3654
0500000US39083,KNOX,61481,59292,607
0500000US39085,LAKE,229954,209296,9947
0500000US39087,LAWRENCE,60184,57458,1211
0500000US39089,LICKING,173750,158836,6676
0500000US39091,LOGAN,45316,42862,808
0500000US39093,LORAIN,307670,261580,26255
0500000US39095,LUCAS,431102,310784,82120
0500000US39097,MADISON,44135,39820,2602
0500000US39099,MAHONING,229961,183221,34740
0500000US39101,MARION,65299,58505,3714
0500000US39103,MEDINA,177980,169681,2675
0500000US39105,MEIGS,23078,22417,256
0500000US39107,MERCER,40884,39658,335
0500000US39109,MIAMI,105371,98717,2130
0500000US39111,MONROE,13942,13694,53
0500000US39113,MONTGOMERY,531670,386350,108397
0500000US39115,MORGAN,14640,13538,721
0500000US39117,MORROW,35043,33794,312
0500000US39119,MUSKINGUM,86131,79042,2779
0500000US39121,NOBLE,14416,13355,807
0500000US39123,OTTAWA,40632,38754,497
0500000US39125,PAULDING,18809,17951,147
0500000US39127,PERRY,36022,35009,139
0500000US39129,PICKAWAY,57762,53851,2055
0500000US39131,PIKE,28000,26742,468
0500000US39133,PORTAGE,162511,147306,6724
0500000US39135,PREBLE,41093,39820,215
0500000US39137,PUTNAM,33911,31974,137
0500000US39139,RICHLAND,121100,104983,10808
0500000US39141,ROSS,76948,69541,4050
0500000US39143,SANDUSKY,59029,53834,1766
0500000US39145,SCIOTO,76040,71545,2224
0500000US39147,SENECA,55351,51886,1716
0500000US39149,SHELBY,48749,45876,1276
0500000US39151,STARK,372404,326746,27880
0500000US39153,SUMMIT,541334,425243,78751
0500000US39155,TRUMBULL,200367,177380,16468
0500000US39157,TUSCARAWAS,92335,89194,661
0500000US39159,UNION,56707,51608,1470
0500000US39161,VAN WERT,28261,27219,371
0500000US39163,VINTON,13083,12716,34
0500000US39165,WARREN,229132,202506,7895
0500000US39167,WASHINGTON,60426,57903,781
0500000US39169,WAYNE,116099,109717,1584
0500000US39171,WILLIAMS,36816,34946,404
0500000US39173,WOOD,130150,119595,3416
0500000US39175,WYANDOT,22000,21372,36